species,Tier_2_year,genus_only,species_abb,authority,family,common_name,year,EddMapsID
Lonicera maackii,NA,NA,L. maackii,(Rupr.) Maxim.,Caprifoliaceae,Amur honeysuckle,1859,3040
Lonicera morrowii,NA,NA,L. morrowii,A.Gray,Caprifoliaceae,Morrow's honeysuckle,1857,3041
Lythrum salicaria,NA,NA,L. salicaria,L.,Lythraceae,Purple loosestrife,1753,3047
Mahonia bealei,NA,NA,M. bealei,(Fortune) Carrire,Berberidaceae,Leatherleaf mahonia,1855,6889
Microstegium vimineum,NA,NA,M. vimineum,(Trin.) A.Camus,Poaceae,Japanese stiltgrass,1922,3051
Miscanthus sinensis,NA,NA,M. sinensis,Andersson,Poaceae,Chinese silvergrass,1855,3052
Morus alba,NA,NA,M. alba,L.,Moraceae,White mulberry,1753,6050
Murdannia keisak,NA,NA,M. keisak,(Hassk.) Hand.-Mazz.,Commelinaceae,Marsh dewflower,1936,3053
Myriophyllum aquaticum,NA,NA,M. aquaticum,(Vell.) Verdc.,Haloragaceae,Parrot-feather,1973,3054
Myriophyllum spicatum,NA,NA,M. spicatum,L.,Haloragaceae,Eurasian watermilfoil,1753,3055
Nandina domestica,2017,NA,N. domestica,Thunb.,Berberidaceae,Nandina,1784,3057
Oplismenus undulatifolius,NA,NA,O. undulatifolius,(Ard.) P.Beauv,Poaceae,Wavyleaf basketgrass,1812,79593
Ornithogalum nutans,NA,NA,O. nutans,L.,Asparagaceae,Nodding star-of-bethlehem,1753,14152
Ornithogalum umbellatum,NA,NA,O. umbellatum,L.,Asparagaceae,Common star-of-bethlehem,1753,6109
Paulownia tomentosa,NA,NA,P. tomentosa,(Thunb.) Steud.,Paulowniaceae,Princess tree/Empress Tree,1841,2426
Perilla frutescens,NA,NA,P. frutescens,(L.) Britton,Lamiaceae,Beefsteak plant,1894,3413
Persicaria filiformis,NA,NA,P. filiformis,(Thunb.) Nakai,Polygonaceae,Asian jumpseed,1919,157947
Persicaria perfoliata,NA,NA,P. perfoliata,(L.) H.Gross,Polygonaceae,Mile-a-minute,1913,3065
Phellodendron amurense,NA,NA,P. amurense,Rupr.,Rutaceae,Amur corktree,1857,11569
Phragmites australis ssp. australis,NA,NA,P. australis,(Cav.) Trin. ex Steud.,Poaceae,European common reed,1840,59038
Phyllostachys aurea,2018,NA,P. aurea,Carriere ex A.Riviere & C.Riviere,Poaceae,Golden bamboo,1878,3063
Phyllostachys aureosulcata,2018,NA,P. aureosulcata,McClure,Poaceae,Yellow groove bamboo,1945,55473
Phyllostachys bissetii,NA,NA,P. bissetii,McClure,Poaceae,Bisset bamboo,1956,61227
Potentilla indica,NA,NA,P. indica,(Andrews) Th.Wolf,Rosaceae,Mock strawberry,1904,78283
Pseudosasa japonica,NA,NA,P. japonica,Makino ex Nakai,Poaceae,Arrow bamboo,1925,3067
Pueraria montana,NA,NA,P. montana,(Lour.) Merr.,Fabaceae,Kudzu,1935,2425
Pyrus calleryana,2018,NA,P. calleryana,Decne.,Rosaceae,Callery pear,1872,10957
Quercus acutissima,NA,NA,Q. acutissima,Carruth.,Fagaceae,Sawtooth oak,1861,10086
Reynoutria japonica,NA,NA,R. japonica,Houtt.,Polygonaceae,Japanese knotweed,1777,19655
Rhodotypos scandens,NA,NA,R. scandens,(Thunb.) Makino,Rosaceae,Jetbead,1913,6891
Rosa multiflora,NA,NA,R. multiflora,Thunb.,Rosaceae,Multiflora rose,1784,3071
Rubus phoenicolasius,NA,NA,R. phoenicolasius,Maxim.,Rosaceae,Wineberry,1872,3072
Salvinia molesta,NA,NA,S. molesta,D.S.Mitch.,Salviniaceae,Giant salvinia,1972,2785
Schoenoplectiella mucronata,NA,NA,S. mucronata,(L.) J.Jung & H.K.Choi,Cyperaceae,Bog bulrush,2010,78763
Spiraea japonica,NA,NA,S. japonica,L.,Rosaceae,Japanese meadowsweet,1782,3076
Tetradium daniellii,2018,NA,T. daniellii,(Benn.) T.G. Hartley,Rutaceae,Bee bee tree,1981,25324
Trapa bispinosa,NA,NA,T. bispinosa,Roxb.,Trapaceae,Two-horned water chestnut,1815,104723
Trapa natans,NA,NA,T. natans,L.,Trapaceae,Eurasian water chestnut,1753,3499
Tripidium ravennae,NA,NA,T. ravennae,(L.) H.Scholz,Poaceae,Ravenna grass,2006,60259
Urtica dioica,NA,NA,U. dioica,L.,Urticaceae,European stinging nettle,1753,6569
Viburnum dilatatum,NA,NA,V. dilatatum,Thunb.,Viburnaceae,Linden viburnum,1784,10123
Viburnum plicatum,NA,NA,V. plicatum,Thunb.,Viburnaceae,Japanese snowball,1794,11533
Viburnum setigerum,NA,NA,V. setigerum,Hance,Viburnaceae,Tea viburnum,1882,22589
Viburnum sieboldii,NA,NA,V. sieboldii,Miq.,Viburnaceae,Siebold viburnum,1866,11532
Vinca minor,NA,NA,V. minor,L.,Apocynaceae,Common periwinkle,1753,3081
Vinca major,NA,,V. major,L.,Apocynaceae,Big periwinkle,1753,4528
Vincetoxicum nigrum,NA,NA,V. nigrum,Moench,Apocynaceae,Black swallow-wort,1802,3398
Vincetoxicum rossicum,NA,NA,V. rossicum,(Kleopow) Barbar.,Apocynaceae,Pale swallow-wort,1950,4260
Wisteria floribunda,2016,TRUE,W. floribunda,(Willd.) DC.,Fabaceae,Japanese wisteria,1825,3082
Wisteria sinensis,2016,TRUE,W. sinensis,(Sims) DC.,Fabaceae,Chinese wisteria,1825,3083
Wisteria x formosa,2016,TRUE,W. x formosa,Rehder,Fabaceae,Hybrid Asian wisteria,1922,20868
